"id","titulo","anio","pais","idioma","duracion","presupuesto","ingresos_mundiales","ingresos_usa","calificacion_promedio","num_votos","genero","ingresos_internacionales","idioma_ingles","pais_fuerte","duracion_cuadrado","outlier_presupuesto","outlier_ingresos","outlier_duracion","log_presupuesto","log_ingresos_int","roi","ratio_ingreso_presupuesto","categoria_presupuesto","decada"
"tt1414382","Ancora tu!",2010,"USA","English",105,2e+07,32054369,25702053,5.8,48742,"Comedy, Romance",6352316,1,1,11025,FALSE,FALSE,FALSE,16.8112428815183,15.6643301862054,-0.6823842,0.3176158,"Medio","2010s"
"tt1415283","Tata Matilda e il grande botto",2010,"UK, France, USA","English",109,3.5e+07,93251121,29011215,6.1,27434,"Comedy, Family, Fantasy",64239906,1,0,11881,FALSE,FALSE,FALSE,17.3708586480251,17.9781351799056,0.835425885714286,1.83542588571429,"Medio","2010s"
"tt1418377","I, Frankenstein",2014,"USA, Australia","English",92,6.5e+07,76801179,19075290,5.1,77469,"Action, Fantasy, Sci-Fi",57725889,1,0,8464,FALSE,FALSE,FALSE,17.9898978432445,17.8712163310158,-0.1119094,0.8880906,"Alto","2010s"
"tt1421051","Somewhere",2010,"USA, UK, Italy, Japan","English",97,7e+06,14788642,1785645,6.3,42108,"Comedy, Drama",13002997,1,0,9409,FALSE,FALSE,FALSE,15.7614208498767,16.3806905042228,0.857571,1.857571,"Bajo","2010s"
"tt1422136","A Lonely Place to Die",2011,"UK","English",99,4e+06,442550,NA,6.2,26906,"Crime, Thriller",265530,1,1,9801,FALSE,FALSE,FALSE,15.2018051690841,12.4894868736767,-0.9336175,0.0663825,"Bajo","2010s"
"tt1423894","La versione di Barney",2010,"Italy, Canada","English",134,3e+07,12106921,4439201,7.3,23781,"Comedy, Drama",7667720,1,0,17956,FALSE,FALSE,FALSE,17.2167079729598,15.8525299975092,-0.744409333333333,0.255590666666667,"Medio","2010s"
"tt1423995","Stone",2010,"USA","English",105,2.2e+07,10300416,1810078,5.4,39986,"Drama, Thriller",8490338,1,1,11025,FALSE,FALSE,FALSE,16.9065530567771,15.954439486819,-0.614075545454545,0.385924454545455,"Medio","2010s"
"tt1424381","Predators",2010,"USA","English",107,4e+07,127233108,52000688,6.4,208732,"Action, Adventure, Sci-Fi",75232420,1,1,11449,FALSE,FALSE,FALSE,17.5043900370782,18.1360928263292,0.8808105,1.8808105,"Medio","2010s"
"tt1426329","Lovelace",2013,"USA","English",93,1e+07,1585583,356582,6.2,38047,"Biography, Drama",1229001,1,1,8649,FALSE,FALSE,FALSE,16.1180957509583,14.0217130158861,-0.8770999,0.1229001,"Medio","2010s"
"tt1428538","Hansel & Gretel - Cacciatori di streghe",2013,"Germany, USA","English",88,5e+07,226349749,55703475,6.1,192084,"Action, Fantasy, Horror",170646274,1,0,7744,FALSE,FALSE,FALSE,17.7275335833924,18.9551034047752,2.41292548,3.41292548,"Alto","2010s"
"tt1430132","Wolverine - L'immortale",2013,"USA, UK","English",126,1.2e+08,414828246,132556852,6.7,422312,"Action, Adventure, Sci-Fi",282271394,1,0,15876,FALSE,TRUE,FALSE,18.6030023090797,19.4583795597156,1.35226161666667,2.35226161666667,"Muy Alto","2010s"
"tt1430607","Il figlio di Babbo Natale",2011,"UK, USA","English",97,1e+08,147419472,46462469,7.1,49050,"Animation, Adventure, Comedy",100957003,1,0,9409,FALSE,FALSE,FALSE,18.4206807539524,18.430205281198,0.00957003,1.00957003,"Muy Alto","2010s"
"tt1430612","Brick Mansions",2014,"France, Canada, USA, Spain","English",90,2.8e+07,71416730,20396829,5.7,39400,"Action, Crime, Thriller",51019901,1,0,8100,FALSE,FALSE,FALSE,17.1477151038538,17.7477263498607,0.822139321428571,1.82213932142857,"Medio","2010s"
"tt1430615","Qualcosa di straordinario",2012,"USA, UK","English",107,4e+07,24740061,20157300,6.5,18452,"Biography, Drama, Family",4582761,1,0,11449,FALSE,FALSE,FALSE,17.5043900370782,15.3378124310933,-0.885430975,0.114569025,"Medio","2010s"
"tt1430626","Pirati! Briganti da strapazzo",2012,"UK, USA","English",88,5.5e+07,123054041,31051126,6.7,44121,"Animation, Adventure, Comedy",92002915,1,0,7744,FALSE,FALSE,FALSE,17.8228437613786,18.3373308301632,0.672780272727273,1.67278027272727,"Alto","2010s"
"tt1431045","Deadpool",2016,"USA","English",108,5.8e+07,782612155,363070709,8,882037,"Action, Adventure, Comedy",419541446,1,1,11664,FALSE,TRUE,FALSE,17.8759535857521,19.8546728799446,6.23347320689655,7.23347320689655,"Alto","2010s"
"tt1431181","Another Year",2010,"UK, USA","English",129,8e+06,19722766,3205706,7.3,27487,"Comedy, Drama",16517060,1,0,16641,FALSE,FALSE,FALSE,15.8949522246441,16.619904404661,1.0646325,2.0646325,"Bajo","2010s"
"tt1433108","Faster",2010,"USA","English",98,2.4e+07,35626958,23240020,6.4,98882,"Action, Crime, Drama",12386938,1,1,9604,FALSE,FALSE,FALSE,16.9935644299789,16.3321531690066,-0.483877583333333,0.516122416666667,"Medio","2010s"
"tt1433811","Disconnect",2012,"USA","English",115,1e+07,3428048,1436900,7.5,72330,"Drama, Thriller",1991148,1,1,13225,FALSE,FALSE,FALSE,16.1180957509583,14.5042224170116,-0.8008852,0.1991148,"Medio","2010s"
"tt1433822","The Apparition",2012,"USA, Germany","English",83,1.7e+07,11350665,4936819,4.1,18681,"Horror, Thriller",6413846,1,0,6889,FALSE,FALSE,FALSE,16.648723960844,15.6739698048815,-0.622714941176471,0.377285058823529,"Medio","2010s"
"tt1434435","Mother's Day",2010,"USA","English",112,1.1e+07,863044,NA,6.3,15694,"Drama, Horror, Thriller",517826.4,1,1,12544,FALSE,FALSE,FALSE,16.2134059216717,13.1573972610834,-0.952924872727273,0.0470751272727273,"Medio","2010s"
"tt1436045","13 assassini",2010,"Japan, UK","Japanese",141,6e+06,18689058,802778,7.6,60955,"Action, Adventure, Drama",17886280,0,0,19881,FALSE,FALSE,FALSE,15.607270193859,16.6995445523765,1.98104666666667,2.98104666666667,"Bajo","2010s"
"tt1436562","Rio",2011,"USA, Brazil","English",96,9e+07,483866518,143619809,6.9,202456,"Animation, Adventure, Comedy",340246709,1,0,9216,FALSE,TRUE,FALSE,18.3153202394057,19.6451815300883,2.78051898888889,3.78051898888889,"Alto","2010s"
"tt1436568","Assassination Games - Giochi di morte",2011,"USA, Hong Kong, Romania","English",101,8e+06,110784,NA,6.1,16412,"Action, Crime, Drama",66470.4,1,0,10201,FALSE,FALSE,FALSE,15.8949522246441,11.1045270589471,-0.9916912,0.0083088,"Bajo","2010s"
"tt1437358","Bed Time",2011,"Spain","Spanish",102,5e+06,8791590,NA,7.2,37746,"Drama, Horror, Thriller",5274954,0,1,10404,FALSE,FALSE,FALSE,15.4249486703984,15.4784807064843,0.0549908,1.0549908,"Bajo","2010s"
"tt1438176","Fright Night - Il vampiro della porta accanto",2011,"USA","English",106,3e+07,41002607,18302607,6.3,98172,"Comedy, Horror",22700000,1,1,11236,FALSE,FALSE,FALSE,17.2167079729598,16.9378755265045,-0.243333333333333,0.756666666666667,"Medio","2010s"
